,Unnamed: 0,Year,quarter,miles_distance,daily_passengers,average_fare,city_Dep,city_Arr,State_Arr,State_Dep,IATA_Dep,IATA_Arr,Date,Max TemperatureC_Dep,Mean TemperatureC_Dep,Min TemperatureC_Dep,Dew PointC_Dep,MeanDew PointC_Dep,Min DewpointC_Dep,Max Humidity_Dep,Mean Humidity_Dep,Min Humidity_Dep,Max Sea Level PressurehPa_Dep,Mean Sea Level PressurehPa_Dep,Min Sea Level PressurehPa_Dep,Max VisibilityKm_Dep,Mean VisibilityKm_Dep,Min VisibilitykM_Dep,Max Wind SpeedKm/h_Dep,Mean Wind SpeedKm/h_Dep,Max Gust SpeedKm/h_Dep,WindDirDegrees_Dep,Rank_2018_Dep,2018_Dep,2017_Dep,2016_Dep,2015_Dep,lat_Dep,lng_Dep,population_Dep,density_Dep,ranking_Dep,Fuel_price,Holiday,LOAD_FACTOR_Dep,Max TemperatureC_Arr,Mean TemperatureC_Arr,Min TemperatureC_Arr,Dew PointC_Arr,MeanDew PointC_Arr,Min DewpointC_Arr,Max Humidity_Arr,Mean Humidity_Arr,Min Humidity_Arr,Max Sea Level PressurehPa_Arr,Mean Sea Level PressurehPa_Arr,Min Sea Level PressurehPa_Arr,Max VisibilityKm_Arr,Mean VisibilityKm_Arr,Min VisibilitykM_Arr,Max Wind SpeedKm/h_Arr,Mean Wind SpeedKm/h_Arr,Max Gust SpeedKm/h_Arr,WindDirDegrees_Arr,Rank_2018_Arr,2018_Arr,2017_Arr,2016_Arr,2015_Arr,lat_Arr,lng_Arr,population_Arr,density_Arr,ranking_Arr,LOAD_FACTOR_Arr
1356,1356,2011,3,1145,1441,128.16,Detroit,Miami,FL ,FL ,DTW,MIA,2011-09-01,33,28,22,22,20,19,84,64,44,1016,1015,1013,16,11,5,19,6,21.0,194,19 ,17437716,17036092,16826287,16255520,42.3834,-83.1024,3522206.0,1873.0,1,3088,0,81.82,32,29,25,26,24,23,97,83,68,1018,1016,1015,16,16,11,24,6,34.0,29,15 ,21025210,20709225,20875813,20986341,25.7839,-80.2102,6381966.0,4969.0,1,81.82
1357,1357,2011,3,965,959,235.73,Houston,Miami,FL ,FL ,IAH,MIA,2011-09-01,39,31,25,24,22,19,82,61,32,1015,1013,1010,16,16,13,27,10,34.0,77,14 ,21157948,19603731,20062072,20595874,29.7869,-95.3905,5446468.0,1401.0,1,3088,0,81.82,32,29,25,26,24,23,97,83,68,1018,1016,1015,16,16,11,24,6,34.0,29,15 ,21025210,20709225,20875813,20986341,25.7839,-80.2102,6381966.0,4969.0,1,81.82
1358,1358,2011,3,2174,1235,241.89,Las Vegas,Miami,FL ,FL ,LAS,MIA,2011-09-01,39,33,26,-12,-16,-27,7,4,1,1008,1005,1003,16,16,16,39,24,48.0,206,9 ,23655285,23364393,22833267,21824231,36.2333,-115.2654,2073045.0,1747.0,1,3088,0,81.82,32,29,25,26,24,23,97,83,68,1018,1016,1015,16,16,11,24,6,34.0,29,15 ,21025210,20709225,20875813,20986341,25.7839,-80.2102,6381966.0,4969.0,1,81.82
1359,1359,2011,3,2342,2572,252.96,Los Angeles,Miami,FL ,FL ,LAX,MIA,2011-09-01,21,18,15,14,14,13,90,76,61,1012,1011,1009,16,11,4,23,13,,265,2 ,42626783,41232432,39636042,36351226,34.1139,-118.4068,12815475.0,3295.0,1,3088,0,81.82,32,29,25,26,24,23,97,83,68,1018,1016,1015,16,16,11,24,6,34.0,29,15 ,21025210,20709225,20875813,20986341,25.7839,-80.2102,6381966.0,4969.0,1,81.82
1650,1650,2011,3,907,1272,205.98,Atlanta,Minneapolis,MN,MN,ATL,MSP,2011-09-01,35,29,24,21,18,14,79,56,32,1022,1019,1017,16,16,11,19,6,26.0,129,1 ,51866464,50251964,50501858,49340732,33.7627,-84.4225,5228750.0,1384.0,1,3088,0,81.82,34,28,22,23,21,19,90,70,49,1011,1007,1004,16,13,6,32,14,42.0,150,17 ,18363493,18409704,18123844,17634252,44.9635,-93.2678,2926757.0,3019.0,1,81.82
1651,1651,2011,3,1124,1461,244.29,Boston,Minneapolis,MN,MN,BOS,MSP,2011-09-01,22,19,17,16,14,12,90,72,53,1024,1023,1021,16,16,14,23,11,26.0,67,16 ,20010262,18759742,17749202,16290362,42.3188,-71.0846,4637537.0,5472.0,1,3088,0,81.82,34,28,22,23,21,19,90,70,49,1011,1007,1004,16,13,6,32,14,42.0,150,17 ,18363493,18409704,18123844,17634252,44.9635,-93.2678,2926757.0,3019.0,1,81.82
1652,1652,2011,3,930,454,247.4,Charlotte,Minneapolis,MN,MN,CLT,MSP,2011-09-01,33,26,17,19,18,16,93,66,38,1022,1020,1017,16,16,11,21,5,24.0,315,12 ,22283574,22011251,21511880,21913166,35.2079,-80.8304,1467362.0,1081.0,1,3088,0,81.82,34,28,22,23,21,19,90,70,49,1011,1007,1004,16,13,6,32,14,42.0,150,17 ,18363493,18409704,18123844,17634252,44.9635,-93.2678,2926757.0,3019.0,1,81.82
1653,1653,2011,3,349,2984,145.33,Chicago,Minneapolis,MN,MN,ORD,MSP,2011-09-01,34,28,22,23,22,19,84,70,56,1015,1013,1011,16,15,11,26,9,37.0,197,3 ,39874879,38593028,37589899,36305668,41.8373,-87.6862,8675982.0,4612.0,1,3088,0,81.82,34,28,22,23,21,19,90,70,49,1011,1007,1004,16,13,6,32,14,42.0,150,17 ,18363493,18409704,18123844,17634252,44.9635,-93.2678,2926757.0,3019.0,1,81.82
1654,1654,2011,3,853,1111,211.85,Dallas,Minneapolis,MN,MN,DFW,MSP,2011-09-01,38,33,27,17,14,11,51,35,19,1015,1013,1010,16,16,16,34,14,45.0,157,4 ,32800721,31816933,31283579,31589832,32.7936,-96.7662,5733259.0,1524.0,1,3088,0,81.82,34,28,22,23,21,19,90,70,49,1011,1007,1004,16,13,6,32,14,42.0,150,17 ,18363493,18409704,18123844,17634252,44.9635,-93.2678,2926757.0,3019.0,1,81.82
1655,1655,2011,3,680,2114,138.75,Denver,Minneapolis,MN,MN,DEN,MSP,2011-09-01,36,28,20,5,3,-2,34,22,9,1016,1007,1004,16,16,16,29,15,39.0,205,5 ,31363573,29809097,28267394,26280043,39.7621,-104.8759,2787266.0,1774.0,1,3088,0,81.82,34,28,22,23,21,19,90,70,49,1011,1007,1004,16,13,6,32,14,42.0,150,17 ,18363493,18409704,18123844,17634252,44.9635,-93.2678,2926757.0,3019.0,1,81.82
1656,1656,2011,3,528,547,309.85,Detroit,Minneapolis,MN,MN,DTW,MSP,2011-09-01,33,28,22,22,20,19,84,64,44,1016,1015,1013,16,11,5,19,6,21.0,194,19 ,17437716,17036092,16826287,16255520,42.3834,-83.1024,3522206.0,1873.0,1,3088,0,81.82,34,28,22,23,21,19,90,70,49,1011,1007,1004,16,13,6,32,14,42.0,150,17 ,18363493,18409704,18123844,17634252,44.9635,-93.2678,2926757.0,3019.0,1,81.82
1657,1657,2011,3,1057,582,267.66,Houston,Minneapolis,MN,MN,IAH,MSP,2011-09-01,39,31,25,24,22,19,82,61,32,1015,1013,1010,16,16,13,27,10,34.0,77,14 ,21157948,19603731,20062072,20595874,29.7869,-95.3905,5446468.0,1401.0,1,3088,0,81.82,34,28,22,23,21,19,90,70,49,1011,1007,1004,16,13,6,32,14,42.0,150,17 ,18363493,18409704,18123844,17634252,44.9635,-93.2678,2926757.0,3019.0,1,81.82
1658,1658,2011,3,1299,1149,195.85,Las Vegas,Minneapolis,MN,MN,LAS,MSP,2011-09-01,39,33,26,-12,-16,-27,7,4,1,1008,1005,1003,16,16,16,39,24,48.0,206,9 ,23655285,23364393,22833267,21824231,36.2333,-115.2654,2073045.0,1747.0,1,3088,0,81.82,34,28,22,23,21,19,90,70,49,1011,1007,1004,16,13,6,32,14,42.0,150,17 ,18363493,18409704,18123844,17634252,44.9635,-93.2678,2926757.0,3019.0,1,81.82
1659,1659,2011,3,1535,1991,237.22,Los Angeles,Minneapolis,MN,MN,LAX,MSP,2011-09-01,21,18,15,14,14,13,90,76,61,1012,1011,1009,16,11,4,23,13,,265,2 ,42626783,41232432,39636042,36351226,34.1139,-118.4068,12815475.0,3295.0,1,3088,0,81.82,34,28,22,23,21,19,90,70,49,1011,1007,1004,16,13,6,32,14,42.0,150,17 ,18363493,18409704,18123844,17634252,44.9635,-93.2678,2926757.0,3019.0,1,81.82
1660,1660,2011,3,1501,484,221.75,Miami,Minneapolis,MN,MN,MIA,MSP,2011-09-01,32,29,25,26,24,23,97,83,68,1018,1016,1015,16,16,11,24,6,34.0,29,15 ,21025210,20709225,20875813,20986341,25.7839,-80.2102,6381966.0,4969.0,1,3088,0,81.82,34,28,22,23,21,19,90,70,49,1011,1007,1004,16,13,6,32,14,42.0,150,17 ,18363493,18409704,18123844,17634252,44.9635,-93.2678,2926757.0,3019.0,1,81.82
1980,1980,2011,3,404,1306,160.58,Atlanta,Orlando,FL,FL,ATL,MCO,2011-09-01,35,29,24,21,18,14,79,56,32,1022,1019,1017,16,16,11,19,6,26.0,129,1 ,51866464,50251964,50501858,49340732,33.7627,-84.4225,5228750.0,1384.0,1,3088,0,81.82,32,28,23,25,24,23,100,80,59,1019,1017,1016,16,16,16,23,6,35.0,73,10 ,23184634,21565448,20283541,18759938,28.4772,-81.3369,1776841.0,982.0,1,81.82
1981,1981,2011,3,1142,3654,147.78,Boston,Orlando,FL,FL,BOS,MCO,2011-09-01,22,19,17,16,14,12,90,72,53,1024,1023,1021,16,16,14,23,11,26.0,67,16 ,20010262,18759742,17749202,16290362,42.3188,-71.0846,4637537.0,5472.0,1,3088,0,81.82,32,28,23,25,24,23,100,80,59,1019,1017,1016,16,16,16,23,6,35.0,73,10 ,23184634,21565448,20283541,18759938,28.4772,-81.3369,1776841.0,982.0,1,81.82
1982,1982,2011,3,468,613,149.45,Charlotte,Orlando,FL,FL,CLT,MCO,2011-09-01,33,26,17,19,18,16,93,66,38,1022,1020,1017,16,16,11,21,5,24.0,315,12 ,22283574,22011251,21511880,21913166,35.2079,-80.8304,1467362.0,1081.0,1,3088,0,81.82,32,28,23,25,24,23,100,80,59,1019,1017,1016,16,16,16,23,6,35.0,73,10 ,23184634,21565448,20283541,18759938,28.4772,-81.3369,1776841.0,982.0,1,81.82
1983,1983,2011,3,1005,2770,159.18,Chicago,Orlando,FL,FL,ORD,MCO,2011-09-01,34,28,22,23,22,19,84,70,56,1015,1013,1011,16,15,11,26,9,37.0,197,3 ,39874879,38593028,37589899,36305668,41.8373,-87.6862,8675982.0,4612.0,1,3088,0,81.82,32,28,23,25,24,23,100,80,59,1019,1017,1016,16,16,16,23,6,35.0,73,10 ,23184634,21565448,20283541,18759938,28.4772,-81.3369,1776841.0,982.0,1,81.82
1984,1984,2011,3,985,1718,171.14,Dallas,Orlando,FL,FL,DFW,MCO,2011-09-01,38,33,27,17,14,11,51,35,19,1015,1013,1010,16,16,16,34,14,45.0,157,4 ,32800721,31816933,31283579,31589832,32.7936,-96.7662,5733259.0,1524.0,1,3088,0,81.82,32,28,23,25,24,23,100,80,59,1019,1017,1016,16,16,16,23,6,35.0,73,10 ,23184634,21565448,20283541,18759938,28.4772,-81.3369,1776841.0,982.0,1,81.82
1985,1985,2011,3,1546,1020,205.83,Denver,Orlando,FL,FL,DEN,MCO,2011-09-01,36,28,20,5,3,-2,34,22,9,1016,1007,1004,16,16,16,29,15,39.0,205,5 ,31363573,29809097,28267394,26280043,39.7621,-104.8759,2787266.0,1774.0,1,3088,0,81.82,32,28,23,25,24,23,100,80,59,1019,1017,1016,16,16,16,23,6,35.0,73,10 ,23184634,21565448,20283541,18759938,28.4772,-81.3369,1776841.0,982.0,1,81.82
1986,1986,2011,3,957,1991,117.87,Detroit,Orlando,FL,FL,DTW,MCO,2011-09-01,33,28,22,22,20,19,84,64,44,1016,1015,1013,16,11,5,19,6,21.0,194,19 ,17437716,17036092,16826287,16255520,42.3834,-83.1024,3522206.0,1873.0,1,3088,0,81.82,32,28,23,25,24,23,100,80,59,1019,1017,1016,16,16,16,23,6,35.0,73,10 ,23184634,21565448,20283541,18759938,28.4772,-81.3369,1776841.0,982.0,1,81.82
1987,1987,2011,3,854,955,229.3,Houston,Orlando,FL,FL,IAH,MCO,2011-09-01,39,31,25,24,22,19,82,61,32,1015,1013,1010,16,16,13,27,10,34.0,77,14 ,21157948,19603731,20062072,20595874,29.7869,-95.3905,5446468.0,1401.0,1,3088,0,81.82,32,28,23,25,24,23,100,80,59,1019,1017,1016,16,16,16,23,6,35.0,73,10 ,23184634,21565448,20283541,18759938,28.4772,-81.3369,1776841.0,982.0,1,81.82
1988,1988,2011,3,2039,727,247.08,Las Vegas,Orlando,FL,FL,LAS,MCO,2011-09-01,39,33,26,-12,-16,-27,7,4,1,1008,1005,1003,16,16,16,39,24,48.0,206,9 ,23655285,23364393,22833267,21824231,36.2333,-115.2654,2073045.0,1747.0,1,3088,0,81.82,32,28,23,25,24,23,100,80,59,1019,1017,1016,16,16,16,23,6,35.0,73,10 ,23184634,21565448,20283541,18759938,28.4772,-81.3369,1776841.0,982.0,1,81.82
1989,1989,2011,3,2218,1784,246.23,Los Angeles,Orlando,FL,FL,LAX,MCO,2011-09-01,21,18,15,14,14,13,90,76,61,1012,1011,1009,16,11,4,23,13,,265,2 ,42626783,41232432,39636042,36351226,34.1139,-118.4068,12815475.0,3295.0,1,3088,0,81.82,32,28,23,25,24,23,100,80,59,1019,1017,1016,16,16,16,23,6,35.0,73,10 ,23184634,21565448,20283541,18759938,28.4772,-81.3369,1776841.0,982.0,1,81.82
1990,1990,2011,3,192,530,140.79,Miami,Orlando,FL,FL,MIA,MCO,2011-09-01,32,29,25,26,24,23,97,83,68,1018,1016,1015,16,16,11,24,6,34.0,29,15 ,21025210,20709225,20875813,20986341,25.7839,-80.2102,6381966.0,4969.0,1,3088,0,81.82,32,28,23,25,24,23,100,80,59,1019,1017,1016,16,16,16,23,6,35.0,73,10 ,23184634,21565448,20283541,18759938,28.4772,-81.3369,1776841.0,982.0,1,81.82
1991,1991,2011,3,1310,1059,161.77,Minneapolis,Orlando,FL,FL,MSP,MCO,2011-09-01,34,28,22,23,21,19,90,70,49,1011,1007,1004,16,13,6,32,14,42.0,150,17 ,18363493,18409704,18123844,17634252,44.9635,-93.2678,2926757.0,3019.0,1,3088,0,81.82,32,28,23,25,24,23,100,80,59,1019,1017,1016,16,16,16,23,6,35.0,73,10 ,23184634,21565448,20283541,18759938,28.4772,-81.3369,1776841.0,982.0,1,81.82
1992,1992,2011,3,989,10560,150.47,New York,Orlando,FL,FL,JFK,MCO,2011-09-01,27,23,19,18,16,12,87,65,42,1023,1022,1020,16,16,16,24,9,29.0,169,6 ,30541459,29533154,29239151,27782369,40.6943,-73.9249,19354922.0,11083.0,1,3088,0,81.82,32,28,23,25,24,23,100,80,59,1019,1017,1016,16,16,16,23,6,35.0,73,10 ,23184634,21565448,20283541,18759938,28.4772,-81.3369,1776841.0,982.0,1,81.82
1993,1993,2011,3,989,10560,150.47,New York,Orlando,FL,FL,LGA,MCO,2011-09-01,27,24,21,17,13,9,68,51,33,1022,1021,1019,16,16,16,26,11,34.0,139,21 ,15059648,14614802,14706123,14762593,40.6943,-73.9249,19354922.0,11083.0,1,3088,0,81.82,32,28,23,25,24,23,100,80,59,1019,1017,1016,16,16,16,23,6,35.0,73,10 ,23184634,21565448,20283541,18759938,28.4772,-81.3369,1776841.0,982.0,1,81.82
2400,2400,2011,3,666,2066,174.92,Atlanta,Philadelphia,PA,PA,ATL,PHL,2011-09-01,35,29,24,21,18,14,79,56,32,1022,1019,1017,16,16,11,19,6,26.0,129,1 ,51866464,50251964,50501858,49340732,33.7627,-84.4225,5228750.0,1384.0,1,3088,0,81.82,28,23,17,17,15,12,93,68,42,1022,1021,1019,16,16,14,16,4,26.0,191,20 ,15285948,14271243,14564419,15101318,40.0077,-75.1339,5637884.0,4547.0,1,81.82
2401,2401,2011,3,289,2470,133.44,Boston,Philadelphia,PA,PA,BOS,PHL,2011-09-01,22,19,17,16,14,12,90,72,53,1024,1023,1021,16,16,14,23,11,26.0,67,16 ,20010262,18759742,17749202,16290362,42.3188,-71.0846,4637537.0,5472.0,1,3088,0,81.82,28,23,17,17,15,12,93,68,42,1022,1021,1019,16,16,14,16,4,26.0,191,20 ,15285948,14271243,14564419,15101318,40.0077,-75.1339,5637884.0,4547.0,1,81.82
2402,2402,2011,3,449,602,250.44,Charlotte,Philadelphia,PA,PA,CLT,PHL,2011-09-01,33,26,17,19,18,16,93,66,38,1022,1020,1017,16,16,11,21,5,24.0,315,12 ,22283574,22011251,21511880,21913166,35.2079,-80.8304,1467362.0,1081.0,1,3088,0,81.82,28,23,17,17,15,12,93,68,42,1022,1021,1019,16,16,14,16,4,26.0,191,20 ,15285948,14271243,14564419,15101318,40.0077,-75.1339,5637884.0,4547.0,1,81.82
2403,2403,2011,3,678,2412,216.91,Chicago,Philadelphia,PA,PA,ORD,PHL,2011-09-01,34,28,22,23,22,19,84,70,56,1015,1013,1011,16,15,11,26,9,37.0,197,3 ,39874879,38593028,37589899,36305668,41.8373,-87.6862,8675982.0,4612.0,1,3088,0,81.82,28,23,17,17,15,12,93,68,42,1022,1021,1019,16,16,14,16,4,26.0,191,20 ,15285948,14271243,14564419,15101318,40.0077,-75.1339,5637884.0,4547.0,1,81.82
2404,2404,2011,3,1303,1154,252.41,Dallas,Philadelphia,PA,PA,DFW,PHL,2011-09-01,38,33,27,17,14,11,51,35,19,1015,1013,1010,16,16,16,34,14,45.0,157,4 ,32800721,31816933,31283579,31589832,32.7936,-96.7662,5733259.0,1524.0,1,3088,0,81.82,28,23,17,17,15,12,93,68,42,1022,1021,1019,16,16,14,16,4,26.0,191,20 ,15285948,14271243,14564419,15101318,40.0077,-75.1339,5637884.0,4547.0,1,81.82
2405,2405,2011,3,1558,1213,238.07,Denver,Philadelphia,PA,PA,DEN,PHL,2011-09-01,36,28,20,5,3,-2,34,22,9,1016,1007,1004,16,16,16,29,15,39.0,205,5 ,31363573,29809097,28267394,26280043,39.7621,-104.8759,2787266.0,1774.0,1,3088,0,81.82,28,23,17,17,15,12,93,68,42,1022,1021,1019,16,16,14,16,4,26.0,191,20 ,15285948,14271243,14564419,15101318,40.0077,-75.1339,5637884.0,4547.0,1,81.82
2406,2406,2011,3,453,546,281.99,Detroit,Philadelphia,PA,PA,DTW,PHL,2011-09-01,33,28,22,22,20,19,84,64,44,1016,1015,1013,16,11,5,19,6,21.0,194,19 ,17437716,17036092,16826287,16255520,42.3834,-83.1024,3522206.0,1873.0,1,3088,0,81.82,28,23,17,17,15,12,93,68,42,1022,1021,1019,16,16,14,16,4,26.0,191,20 ,15285948,14271243,14564419,15101318,40.0077,-75.1339,5637884.0,4547.0,1,81.82
2407,2407,2011,3,1336,925,246.64,Houston,Philadelphia,PA,PA,IAH,PHL,2011-09-01,39,31,25,24,22,19,82,61,32,1015,1013,1010,16,16,13,27,10,34.0,77,14 ,21157948,19603731,20062072,20595874,29.7869,-95.3905,5446468.0,1401.0,1,3088,0,81.82,28,23,17,17,15,12,93,68,42,1022,1021,1019,16,16,14,16,4,26.0,191,20 ,15285948,14271243,14564419,15101318,40.0077,-75.1339,5637884.0,4547.0,1,81.82
2408,2408,2011,3,2176,1264,245.7,Las Vegas,Philadelphia,PA,PA,LAS,PHL,2011-09-01,39,33,26,-12,-16,-27,7,4,1,1008,1005,1003,16,16,16,39,24,48.0,206,9 ,23655285,23364393,22833267,21824231,36.2333,-115.2654,2073045.0,1747.0,1,3088,0,81.82,28,23,17,17,15,12,93,68,42,1022,1021,1019,16,16,14,16,4,26.0,191,20 ,15285948,14271243,14564419,15101318,40.0077,-75.1339,5637884.0,4547.0,1,81.82
2409,2409,2011,3,2402,1849,321.66,Los Angeles,Philadelphia,PA,PA,LAX,PHL,2011-09-01,21,18,15,14,14,13,90,76,61,1012,1011,1009,16,11,4,23,13,,265,2 ,42626783,41232432,39636042,36351226,34.1139,-118.4068,12815475.0,3295.0,1,3088,0,81.82,28,23,17,17,15,12,93,68,42,1022,1021,1019,16,16,14,16,4,26.0,191,20 ,15285948,14271243,14564419,15101318,40.0077,-75.1339,5637884.0,4547.0,1,81.82
2410,2410,2011,3,1013,1492,187.8,Miami,Philadelphia,PA,PA,MIA,PHL,2011-09-01,32,29,25,26,24,23,97,83,68,1018,1016,1015,16,16,11,24,6,34.0,29,15 ,21025210,20709225,20875813,20986341,25.7839,-80.2102,6381966.0,4969.0,1,3088,0,81.82,28,23,17,17,15,12,93,68,42,1022,1021,1019,16,16,14,16,4,26.0,191,20 ,15285948,14271243,14564419,15101318,40.0077,-75.1339,5637884.0,4547.0,1,81.82
2411,2411,2011,3,980,751,275.51,Minneapolis,Philadelphia,PA,PA,MSP,PHL,2011-09-01,34,28,22,23,21,19,90,70,49,1011,1007,1004,16,13,6,32,14,42.0,150,17 ,18363493,18409704,18123844,17634252,44.9635,-93.2678,2926757.0,3019.0,1,3088,0,81.82,28,23,17,17,15,12,93,68,42,1022,1021,1019,16,16,14,16,4,26.0,191,20 ,15285948,14271243,14564419,15101318,40.0077,-75.1339,5637884.0,4547.0,1,81.82
2412,2412,2011,3,861,3062,129.82,Orlando,Philadelphia,PA,PA,MCO,PHL,2011-09-01,32,28,23,25,24,23,100,80,59,1019,1017,1016,16,16,16,23,6,35.0,73,10 ,23184634,21565448,20283541,18759938,28.4772,-81.3369,1776841.0,982.0,1,3088,0,81.82,28,23,17,17,15,12,93,68,42,1022,1021,1019,16,16,14,16,4,26.0,191,20 ,15285948,14271243,14564419,15101318,40.0077,-75.1339,5637884.0,4547.0,1,81.82
2790,2790,2011,3,1587,863,190.23,Atlanta,Phoenix,AZ,AZ,ATL,PHX,2011-09-01,35,29,24,21,18,14,79,56,32,1022,1019,1017,16,16,11,19,6,26.0,129,1 ,51866464,50251964,50501858,49340732,33.7627,-84.4225,5228750.0,1384.0,1,3088,0,81.82,44,38,32,14,10,2,34,23,11,1008,1004,1001,16,16,16,24,11,34.0,154,13 ,21623842,21185458,20896265,21351445,33.5722,-112.0891,4081849.0,1212.0,1,81.82
2791,2791,2011,3,2300,1173,215.21,Boston,Phoenix,AZ,AZ,BOS,PHX,2011-09-01,22,19,17,16,14,12,90,72,53,1024,1023,1021,16,16,14,23,11,26.0,67,16 ,20010262,18759742,17749202,16290362,42.3188,-71.0846,4637537.0,5472.0,1,3088,0,81.82,44,38,32,14,10,2,34,23,11,1008,1004,1001,16,16,16,24,11,34.0,154,13 ,21623842,21185458,20896265,21351445,33.5722,-112.0891,4081849.0,1212.0,1,81.82
2792,2792,2011,3,1773,297,312.36,Charlotte,Phoenix,AZ,AZ,CLT,PHX,2011-09-01,33,26,17,19,18,16,93,66,38,1022,1020,1017,16,16,11,21,5,24.0,315,12 ,22283574,22011251,21511880,21913166,35.2079,-80.8304,1467362.0,1081.0,1,3088,0,81.82,44,38,32,14,10,2,34,23,11,1008,1004,1001,16,16,16,24,11,34.0,154,13 ,21623842,21185458,20896265,21351445,33.5722,-112.0891,4081849.0,1212.0,1,81.82
2793,2793,2011,3,1444,2216,205.75,Chicago,Phoenix,AZ,AZ,ORD,PHX,2011-09-01,34,28,22,23,22,19,84,70,56,1015,1013,1011,16,15,11,26,9,37.0,197,3 ,39874879,38593028,37589899,36305668,41.8373,-87.6862,8675982.0,4612.0,1,3088,0,81.82,44,38,32,14,10,2,34,23,11,1008,1004,1001,16,16,16,24,11,34.0,154,13 ,21623842,21185458,20896265,21351445,33.5722,-112.0891,4081849.0,1212.0,1,81.82
2794,2794,2011,3,879,1163,214.81,Dallas,Phoenix,AZ,AZ,DFW,PHX,2011-09-01,38,33,27,17,14,11,51,35,19,1015,1013,1010,16,16,16,34,14,45.0,157,4 ,32800721,31816933,31283579,31589832,32.7936,-96.7662,5733259.0,1524.0,1,3088,0,81.82,44,38,32,14,10,2,34,23,11,1008,1004,1001,16,16,16,24,11,34.0,154,13 ,21623842,21185458,20896265,21351445,33.5722,-112.0891,4081849.0,1212.0,1,81.82
2795,2795,2011,3,602,2415,118.34,Denver,Phoenix,AZ,AZ,DEN,PHX,2011-09-01,36,28,20,5,3,-2,34,22,9,1016,1007,1004,16,16,16,29,15,39.0,205,5 ,31363573,29809097,28267394,26280043,39.7621,-104.8759,2787266.0,1774.0,1,3088,0,81.82,44,38,32,14,10,2,34,23,11,1008,1004,1001,16,16,16,24,11,34.0,154,13 ,21623842,21185458,20896265,21351445,33.5722,-112.0891,4081849.0,1212.0,1,81.82
2796,2796,2011,3,1671,1021,195.5,Detroit,Phoenix,AZ,AZ,DTW,PHX,2011-09-01,33,28,22,22,20,19,84,64,44,1016,1015,1013,16,11,5,19,6,21.0,194,19 ,17437716,17036092,16826287,16255520,42.3834,-83.1024,3522206.0,1873.0,1,3088,0,81.82,44,38,32,14,10,2,34,23,11,1008,1004,1001,16,16,16,24,11,34.0,154,13 ,21623842,21185458,20896265,21351445,33.5722,-112.0891,4081849.0,1212.0,1,81.82
2797,2797,2011,3,1020,751,216.77,Houston,Phoenix,AZ,AZ,IAH,PHX,2011-09-01,39,31,25,24,22,19,82,61,32,1015,1013,1010,16,16,13,27,10,34.0,77,14 ,21157948,19603731,20062072,20595874,29.7869,-95.3905,5446468.0,1401.0,1,3088,0,81.82,44,38,32,14,10,2,34,23,11,1008,1004,1001,16,16,16,24,11,34.0,154,13 ,21623842,21185458,20896265,21351445,33.5722,-112.0891,4081849.0,1212.0,1,81.82
2798,2798,2011,3,255,1618,126.37,Las Vegas,Phoenix,AZ,AZ,LAS,PHX,2011-09-01,39,33,26,-12,-16,-27,7,4,1,1008,1005,1003,16,16,16,39,24,48.0,206,9 ,23655285,23364393,22833267,21824231,36.2333,-115.2654,2073045.0,1747.0,1,3088,0,81.82,44,38,32,14,10,2,34,23,11,1008,1004,1001,16,16,16,24,11,34.0,154,13 ,21623842,21185458,20896265,21351445,33.5722,-112.0891,4081849.0,1212.0,1,81.82
2799,2799,2011,3,370,4438,134.42,Los Angeles,Phoenix,AZ,AZ,LAX,PHX,2011-09-01,21,18,15,14,14,13,90,76,61,1012,1011,1009,16,11,4,23,13,,265,2 ,42626783,41232432,39636042,36351226,34.1139,-118.4068,12815475.0,3295.0,1,3088,0,81.82,44,38,32,14,10,2,34,23,11,1008,1004,1001,16,16,16,24,11,34.0,154,13 ,21623842,21185458,20896265,21351445,33.5722,-112.0891,4081849.0,1212.0,1,81.82
2800,2800,2011,3,1972,502,220.99,Miami,Phoenix,AZ,AZ,MIA,PHX,2011-09-01,32,29,25,26,24,23,97,83,68,1018,1016,1015,16,16,11,24,6,34.0,29,15 ,21025210,20709225,20875813,20986341,25.7839,-80.2102,6381966.0,4969.0,1,3088,0,81.82,44,38,32,14,10,2,34,23,11,1008,1004,1001,16,16,16,24,11,34.0,154,13 ,21623842,21185458,20896265,21351445,33.5722,-112.0891,4081849.0,1212.0,1,81.82
2801,2801,2011,3,1276,1185,175.72,Minneapolis,Phoenix,AZ,AZ,MSP,PHX,2011-09-01,34,28,22,23,21,19,90,70,49,1011,1007,1004,16,13,6,32,14,42.0,150,17 ,18363493,18409704,18123844,17634252,44.9635,-93.2678,2926757.0,3019.0,1,3088,0,81.82,44,38,32,14,10,2,34,23,11,1008,1004,1001,16,16,16,24,11,34.0,154,13 ,21623842,21185458,20896265,21351445,33.5722,-112.0891,4081849.0,1212.0,1,81.82
